frame_id,event_id,event_type,milestone,motion_phase,model_raw_label,raw_label_conflict,is_peak_frame,is_contact_frame,event_start_frame,event_end_frame,peak_frame,contact_frame,bounce_frame,shot_direction,motion_energy,raw_swing_type,wrist_speed,racket_speed,ball_racket_distance,contact_score,event_contact_confidence,racket_lag_at_contact,two_hand_distance
122,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,36.4117,Forehand,40.8167,0.0,,0.0,0.5937,172.6507,226.0619
123,2,Forehand,IN_EVENT,follow_through,Forehand,False,False,False,98,150,119,119,,screen_right,40.3113,Forehand,40.3113,0.0,,0.0,0.5937,172.6507,197.1015
124,2,Forehand,IN_EVENT,follow_through,Backhand,True,False,False,98,150,119,119,,screen_right,40.4969,Backhand,40.4969,0.0,,0.0,0.5937,172.6507,174.2699
125,2,Forehand,IN_EVENT,follow_through,Backhand,True,False,False,98,150,119,119,,screen_right,40.3113,Backhand,40.3113,0.0,,0.0,0.5937,172.6507,157.2069
126,2,Forehand,IN_EVENT,follow_through,Backhand,True,False,False,98,150,119,119,,screen_right,40.3113,Backhand,40.2492,0.0,,0.0,0.5937,172.6507,149.6162
127,2,Forehand,IN_EVENT,follow_through,Backhand,True,False,False,98,150,119,119,,screen_right,40.2492,Backhand,40.2492,0.0,,0.0,0.5937,172.6507,136.6931
128,2,Forehand,IN_EVENT,follow_through,Backhand,True,False,False,98,150,119,119,,screen_right,40.2492,Backhand,33.541,0.0,,0.0,0.5937,172.6507,125.9365
129,2,Forehand,IN_EVENT,ready,Backhand,True,False,False,98,150,119,119,,screen_right,33.541,Backhand,16.1245,0.0,,0.0,0.5937,172.6507,116.1551
130,2,Forehand,IN_EVENT,ready,Backhand,True,False,False,98,150,119,119,,screen_right,16.1245,Backhand,8.0623,0.0,,0.0,0.5937,172.6507,107.0047
131,2,Forehand,IN_EVENT,ready,Backhand,True,False,False,98,150,119,119,,screen_right,10.0,Backhand,10.0,1.0,,0.0,0.5937,172.6507,97.4166
132,2,Forehand,IN_EVENT,ready,Backhand,True,False,False,98,150,119,119,,screen_right,10.0,Backhand,14.4222,0.0,,0.0,0.5937,172.6507,95.3415
133,2,Forehand,IN_EVENT,ready,Backhand,True,False,False,98,150,119,119,,screen_right,10.0,Backhand,9.4868,0.0,,0.0,0.5937,172.6507,83.4865
134,2,Forehand,IN_EVENT,ready,Backhand,True,False,False,98,150,119,119,,screen_right,9.4868,Backhand,5.831,0.0,,0.0,0.5937,172.6507,74.108
135,2,Forehand,IN_EVENT,ready,Backhand,True,False,False,98,150,119,119,,screen_right,5.831,Backhand,3.1623,2.5,,0.0,0.5937,172.6507,70.0643
136,2,Forehand,IN_EVENT,ready,Backhand,True,False,False,98,150,119,119,,screen_right,3.6056,Backhand,3.6056,0.0,,0.0,0.5937,172.6507,66.2722
137,2,Forehand,IN_EVENT,ready,Backhand,True,False,False,98,150,119,119,,screen_right,3.6056,Backhand,8.0,0.0,,0.0,0.5937,172.6507,63.0079
138,2,Forehand,IN_EVENT,ready,Two-Handed Backhand,True,False,False,98,150,119,119,,screen_right,8.0,Two-Handed Backhand,13.0,0.0,,0.0,0.5937,172.6507,53.0094
139,2,Forehand,IN_EVENT,ready,Two-Handed Backhand,True,False,False,98,150,119,119,,screen_right,13.0,Two-Handed Backhand,16.0,0.0,,0.0,0.5937,172.6507,45.1774
140,2,Forehand,IN_EVENT,ready,Two-Handed Backhand,True,False,False,98,150,119,119,,screen_right,16.0,Two-Handed Backhand,22.1359,0.0,,0.0,0.5937,172.6507,31.257
141,2,Forehand,IN_EVENT,ready,Two-Handed Backhand,True,False,False,98,150,119,119,,screen_right,22.1359,Two-Handed Backhand,24.4131,0.0,,0.0,0.5937,172.6507,22.6716
142,2,Forehand,IN_EVENT,ready,Two-Handed Backhand,True,False,False,98,150,119,119,,screen_right,24.4131,Two-Handed Backhand,26.9258,12.2577,,0.0,0.5937,172.6507,24.0
143,2,Forehand,IN_EVENT,ready,Two-Handed Backhand,True,False,False,98,150,119,119,,screen_right,26.9258,Two-Handed Backhand,34.7131,28.1603,,0.0,0.5937,172.6507,49.2443
144,2,Forehand,IN_EVENT,ready,Backhand,True,False,False,98,150,119,119,,screen_right,31.6228,Backhand,31.6228,24.1661,,0.0,0.5937,172.6507,72.7324
145,2,Forehand,IN_EVENT,ready,Backhand,True,False,False,98,150,119,119,,screen_right,31.6228,Backhand,29.5296,0.0,,0.0,0.5937,172.6507,89.9889
146,2,Forehand,IN_EVENT,ready,Backhand,True,False,False,98,150,119,119,,screen_right,29.5296,Backhand,26.5707,0.0,,0.0,0.5937,172.6507,100.6628
147,2,Forehand,IN_EVENT,ready,Backhand,True,False,False,98,150,119,119,,screen_right,26.5707,Backhand,22.8035,34.9857,,0.0,0.5937,172.6507,107.912
148,2,Forehand,IN_EVENT,ready,Backhand,True,False,False,98,150,119,119,,screen_right,26.2393,Backhand,15.5242,20.7002,,0.0,0.5937,172.6507,112.7519
149,2,Forehand,IN_EVENT,ready,Backhand,True,False,False,98,150,119,119,,screen_right,18.75,Backhand,12.0416,25.0,,0.0,0.5937,172.6507,114.2804
150,2,Forehand,IN_EVENT,ready,Backhand,True,False,False,98,150,119,119,,screen_right,15.5252,Backhand,9.0554,11.3137,,0.0,0.5937,172.6507,116.1077
151,,No Event,NO_EVENT,ready,Backhand,False,False,False,,,,,,,18.75,Backhand,6.3246,30.0666,,0.0,,,116.0388
152,,No Event,NO_EVENT,ready,Backhand,False,False,False,,,,,,,9.0554,Backhand,4.4721,4.717,,0.0,,,115.0
153,,No Event,NO_EVENT,ready,Backhand,False,False,False,,,,,,,6.0583,Backhand,3.6056,8.0777,,0.0,,,113.1592
154,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,6.0583,Forehand,2.0,8.5147,,0.0,,,113.3578
155,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,6.0583,Forehand,2.2361,7.1063,,0.0,,,114.5295
156,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,5.3297,Forehand,3.0,2.0616,,0.0,,,113.0
157,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,4.4721,Forehand,4.4721,4.2426,,0.0,,,110.6436
158,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,4.4721,Forehand,10.0,0.0,,0.0,,,106.3673
159,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,6.7082,Forehand,6.7082,0.0,,0.0,,,108.1896
160,,No Event,NO_EVENT,ready,Backhand,False,False,False,,,,,,,10.0,Backhand,12.53,0.0,,0.0,,,105.8017
161,,No Event,NO_EVENT,ready,Backhand,False,False,False,,,,,,,9.2195,Backhand,9.2195,0.0,,0.0,,,106.066
162,,No Event,NO_EVENT,ready,Backhand,False,False,False,,,,,,,10.198,Backhand,10.198,12.5,,0.0,,,107.2007
